0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:51:50 +0530] "GET /corpseedhrm/staticresources/js/dataTables.select.min.js HTTP/1.1" 200 12663
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:51:50 +0530] "GET /corpseedhrm/staticresources/js/dataTables.responsive.min.js HTTP/1.1" 200 16849
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:51:50 +0530] "GET /corpseedhrm/staticresources/js/pdfmake.min.js HTTP/1.1" 200 1093401
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:51:50 +0530] "GET /corpseedhrm/staticresources/images/favicon.png HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:51:51 +0530] "POST /corpseedhrm/trafficcontrol HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:51:52 +0530] "POST /corpseedhrm/login.html HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:51:53 +0530] "POST /corpseedhrm/trafficcontrol HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:06 +0530] "POST /corpseedhrm/login.html HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:07 +0530] "POST /corpseedhrm/trafficcontrol HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "POST /corpseedhrm/login.html HTTP/1.1" 200 61525
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/font.min.css HTTP/1.1" 200 90496
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/media.css HTTP/1.1" 200 41698
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/fakeLoader.min.css HTTP/1.1" 200 7810
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/jquery-ui.css HTTP/1.1" 200 35997
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/bootstrap.css HTTP/1.1" 200 192347
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/style.css HTTP/1.1" 200 66276
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/error.css HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/animate.css HTTP/1.1" 200 77907
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/jquery.timepicker.css HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/datepicker.css HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/daterangepicker.css HTTP/1.1" 200 8086
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdcss/material-scrolltop.css HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/logo.png HTTP/1.1" 200 18333
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/5b8cdab0e6.js HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/profile.svg HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/payment.svg HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/db_img1.svg HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/bell.svg HTTP/1.1" 200 1066
